seqn,household_income,gender,age,education_level,household_size
78661,"10,000 to 14,999",Male,64,Some College or AA degree,1
78662,"45,000 to 54,999",Male,56,Some College or AA degree,1
78664,"25,000 to 34,999",Male,37,High School Grad/GED or equivalent,3
78665,"55,000 to 64,999",Male,48,College Graduate or above,1
78666,"45,000 to 54,999",Female,20,High School Grad/GED or equivalent,2
78667,"55,000 to 64,999",Male,63,Some College or AA degree,2
78669,"20,000 and Over",Female,27,,3
78671,"75,000 to 99,999",Female,67,High School Grad/GED or equivalent,4
78672,"75,000 to 99,999",Male,31,High School Grad/GED or equivalent,4
78673,"55,000 to 64,999",Female,32,College Graduate or above,2
78674,"65,000 to 74,999",Female,61,College Graduate or above,2
78675,"15,000 to 19,999",Male,19,Some College or AA degree,4
78676,"100,000 and Over",Female,39,College Graduate or above,3
78678,"100,000 and Over",Female,44,High School Grad/GED or equivalent,6
78679,"100,000 and Over",Female,68,Some College or AA degree,2
78682,"45,000 to 54,999",Female,53,College Graduate or above,3
78683,"100,000 and Over",Female,56,College Graduate or above,2
78685,"25,000 to 34,999",Female,80,<9th Grade,3
78688,"55,000 to 64,999",Male,39,Some College or AA degree,4
78689,"20,000 to 24,999",Female,21,Some College or AA degree,6
78691,,Female,42,Some College or AA degree,2
78692,"100,000 and Over",Female,39,College Graduate or above,5
78694,"25,000 to 34,999",Female,22,High School Grad/GED or equivalent,3
78695,Don't know,Male,23,,5
78698," 5,000 to  9,999",Female,80,Some College or AA degree,1
78700,"45,000 to 54,999",Male,80,9th-11th Grade,2
78702,"25,000 to 34,999",Male,80,High School Grad/GED or equivalent,2
78703,"100,000 and Over",Male,59,College Graduate or above,5
78704,"45,000 to 54,999",Male,55,,7
78705,"25,000 to 34,999",Female,37,High School Grad/GED or equivalent,4
78706,"35,000 to 44,999",Female,39,High School Grad/GED or equivalent,3
78707,"20,000 to 24,999",Male,56,<9th Grade,7
78708,"45,000 to 54,999",Male,40,9th-11th Grade,5
78710,"55,000 to 64,999",Female,36,Some College or AA degree,4
78712,"10,000 to 14,999",Female,53,Some College or AA degree,1
78714,"20,000 to 24,999",Female,64,Some College or AA degree,1
78716,"75,000 to 99,999",Female,46,Some College or AA degree,4
78718,"35,000 to 44,999",Female,45,High School Grad/GED or equivalent,4
78719,"25,000 to 34,999",Female,37,High School Grad/GED or equivalent,6
78720,"25,000 to 34,999",Female,27,Some College or AA degree,4
78723,"75,000 to 99,999",Female,66,Some College or AA degree,2
78724,"20,000 to 24,999",Male,23,High School Grad/GED or equivalent,2
78725,"20,000 to 24,999",Male,35,9th-11th Grade,7
78727,"35,000 to 44,999",Female,70,Some College or AA degree,2
78728,,Male,38,<9th Grade,3
78729,"25,000 to 34,999",Female,18,Some College or AA degree,3
78731,,Female,18,9th-11th Grade,6
78733,"25,000 to 34,999",Male,27,College Graduate or above,1
78735,"100,000 and Over",Male,44,Some College or AA degree,3
78736,"100,000 and Over",Male,41,9th-11th Grade,4
78737," 5,000 to  9,999",Female,71,High School Grad/GED or equivalent,1
78739,"100,000 and Over",Male,53,College Graduate or above,4
78741,"45,000 to 54,999",Male,37,<9th Grade,7
78742,"100,000 and Over",Male,53,Some College or AA degree,4
78744,"100,000 and Over",Female,55,College Graduate or above,2
78746,"100,000 and Over",Female,27,College Graduate or above,2
78747,"20,000 to 24,999",Female,70,High School Grad/GED or equivalent,2
78748,"45,000 to 54,999",Male,77,High School Grad/GED or equivalent,2
78750,"100,000 and Over",Female,20,College Graduate or above,4
78752,"35,000 to 44,999",Male,80,9th-11th Grade,3
78754," 5,000 to  9,999",Female,79,High School Grad/GED or equivalent,2
78755,"25,000 to 34,999",Female,40,High School Grad/GED or equivalent,3
78757,"25,000 to 34,999",Male,65,<9th Grade,3
78759,"75,000 to 99,999",Male,72,College Graduate or above,3
78760,"15,000 to 19,999",Female,31,College Graduate or above,1
78762,"15,000 to 19,999",Male,24,High School Grad/GED or equivalent,6
78764,"20,000 to 24,999",Female,51,Some College or AA degree,3
78765,Refused,Male,33,High School Grad/GED or equivalent,5
78766,"75,000 to 99,999",Male,46,Some College or AA degree,5
78767,"65,000 to 74,999",Male,29,College Graduate or above,4
78768,"75,000 to 99,999",Female,34,Some College or AA degree,4
78769,"75,000 to 99,999",Male,19,High School Grad/GED or equivalent,6
78770,"10,000 to 14,999",Male,41,Some College or AA degree,4
78771,Refused,Male,80,Refused,2
78772,,Female,30,High School Grad/GED or equivalent,3
78776,"100,000 and Over",Male,24,College Graduate or above,3
78777,"20,000 to 24,999",Female,56,High School Grad/GED or equivalent,7
78778,"45,000 to 54,999",Female,64,Some College or AA degree,1
78780,"55,000 to 64,999",Female,80,Some College or AA degree,2
78781,"20,000 to 24,999",Male,29,High School Grad/GED or equivalent,5
78782,"20,000 and Over",Female,19,College Graduate or above,5
78783,"35,000 to 44,999",Female,19,High School Grad/GED or equivalent,2
78789,"10,000 to 14,999",Male,75,College Graduate or above,1
78790,"25,000 to 34,999",Male,58,High School Grad/GED or equivalent,7
78791,"75,000 to 99,999",Male,43,Some College or AA degree,4
78794,"35,000 to 44,999",Male,60,Some College or AA degree,5
78796,"10,000 to 14,999",Female,64,Some College or AA degree,1
78797,"100,000 and Over",Male,37,<9th Grade,7
78798," 5,000 to  9,999",Male,19,Some College or AA degree,2
78799,"100,000 and Over",Female,45,College Graduate or above,4
78801,"25,000 to 34,999",Male,37,High School Grad/GED or equivalent,7
78804,"100,000 and Over",Female,64,College Graduate or above,6
78805,"35,000 to 44,999",Female,41,Some College or AA degree,6
78806," 5,000 to  9,999",Female,46,<9th Grade,3
78809,"75,000 to 99,999",Female,47,High School Grad/GED or equivalent,2
78810,Refused,Female,58,9th-11th Grade,2
78812,"65,000 to 74,999",Male,41,High School Grad/GED or equivalent,6
78814,"20,000 to 24,999",Female,42,9th-11th Grade,6
78818,"45,000 to 54,999",Female,43,9th-11th Grade,3
78819,"100,000 and Over",Female,37,High School Grad/GED or equivalent,4
78820,"55,000 to 64,999",Male,76,Some College or AA degree,2
78821,"75,000 to 99,999",Female,38,<9th Grade,7
78822,"25,000 to 34,999",Male,68,High School Grad/GED or equivalent,2
78823,"15,000 to 19,999",Female,38,9th-11th Grade,3
78825,"100,000 and Over",Female,67,College Graduate or above,6
78827,"35,000 to 44,999",Female,42,Some College or AA degree,4
78828,"75,000 to 99,999",Male,29,High School Grad/GED or equivalent,2
78829,"35,000 to 44,999",Male,38,College Graduate or above,3
78832,"55,000 to 64,999",Male,32,College Graduate or above,1
78833,"35,000 to 44,999",Male,27,High School Grad/GED or equivalent,3
78834,"65,000 to 74,999",Female,56,Some College or AA degree,1
78836,"25,000 to 34,999",Male,47,Some College or AA degree,4
78838,"25,000 to 34,999",Male,78,Some College or AA degree,2
78840,"45,000 to 54,999",Female,18,9th-11th Grade,5
78844," 5,000 to  9,999",Female,67,High School Grad/GED or equivalent,1
78847,"65,000 to 74,999",Female,63,<9th Grade,4
78852,"20,000 and Over",Male,40,<9th Grade,4
78853,"100,000 and Over",Female,65,Some College or AA degree,2
78854,"35,000 to 44,999",Male,67,College Graduate or above,3
78858,"100,000 and Over",Male,77,Some College or AA degree,6
78862,"45,000 to 54,999",Female,36,High School Grad/GED or equivalent,6
78863,"100,000 and Over",Male,18,College Graduate or above,5
78865," 5,000 to  9,999",Female,61,High School Grad/GED or equivalent,1
78870,"25,000 to 34,999",Female,52,9th-11th Grade,2
78872,"25,000 to 34,999",Female,28,<9th Grade,2
78874,"35,000 to 44,999",Female,55,Some College or AA degree,1
78875,"100,000 and Over",Female,50,College Graduate or above,5
78876,"25,000 to 34,999",Female,66,High School Grad/GED or equivalent,2
78880,"25,000 to 34,999",Male,33,Some College or AA degree,5
78881," 5,000 to  9,999",Female,28,<9th Grade,4
78882,"45,000 to 54,999",Female,70,College Graduate or above,2
78883,"20,000 to 24,999",Male,51,Some College or AA degree,3
78884,"15,000 to 19,999",Female,26,9th-11th Grade,3
78885,"100,000 and Over",Female,61,Some College or AA degree,3
78890,"45,000 to 54,999",Male,23,High School Grad/GED or equivalent,6
78892,"20,000 and Over",Male,62,<9th Grade,7
78895,Refused,Male,59,College Graduate or above,1
78896," 5,000 to  9,999",Female,28,9th-11th Grade,5
78897,"35,000 to 44,999",Female,63,9th-11th Grade,2
78898,"20,000 and Over",Female,37,College Graduate or above,4
78899,"55,000 to 64,999",Male,80,College Graduate or above,3
78900,"20,000 to 24,999",Male,27,College Graduate or above,3
78901,"100,000 and Over",Female,44,College Graduate or above,6
78902,"20,000 to 24,999",Male,63,Some College or AA degree,3
78903,"25,000 to 34,999",Male,66,<9th Grade,3
78904,"15,000 to 19,999",Female,23,9th-11th Grade,6
78905," 5,000 to  9,999",Male,61,<9th Grade,1
78907,"100,000 and Over",Male,30,College Graduate or above,5
78909,"45,000 to 54,999",Female,41,College Graduate or above,1
78910,"25,000 to 34,999",Male,46,Some College or AA degree,3
78911,"75,000 to 99,999",Female,56,College Graduate or above,3
78912,"65,000 to 74,999",Female,76,College Graduate or above,1
78916,"65,000 to 74,999",Female,60,Some College or AA degree,2
78917,"10,000 to 14,999",Female,26,Some College or AA degree,3
78918,"100,000 and Over",Male,67,College Graduate or above,6
78919,"100,000 and Over",Female,47,College Graduate or above,4
78920,"25,000 to 34,999",Male,20,,3
78921,"25,000 to 34,999",Male,47,High School Grad/GED or equivalent,5
78922,"100,000 and Over",Female,40,Some College or AA degree,4
78924,"100,000 and Over",Female,50,College Graduate or above,2
78925,,Female,19,High School Grad/GED or equivalent,2
78926,"15,000 to 19,999",Male,44,High School Grad/GED or equivalent,2
78928,"10,000 to 14,999",Female,80,High School Grad/GED or equivalent,3
78929,"25,000 to 34,999",Female,71,9th-11th Grade,5
78930,"55,000 to 64,999",Male,50,Some College or AA degree,4
78931,"45,000 to 54,999",Male,28,High School Grad/GED or equivalent,2
78934,"100,000 and Over",Male,20,College Graduate or above,5
78937,"10,000 to 14,999",Male,55,High School Grad/GED or equivalent,4
78938,"20,000 and Over",Female,65,High School Grad/GED or equivalent,6
78940,"25,000 to 34,999",Female,36,Some College or AA degree,4
78942,"75,000 to 99,999",Female,58,College Graduate or above,1
78944,"20,000 to 24,999",Female,56,<9th Grade,2
78946,"10,000 to 14,999",Male,20,Some College or AA degree,2
78947,"65,000 to 74,999",Female,80,College Graduate or above,2
78949,"10,000 to 14,999",Male,43,High School Grad/GED or equivalent,4
78950," 5,000 to  9,999",Female,73,9th-11th Grade,1
78951,"10,000 to 14,999",Female,80,High School Grad/GED or equivalent,1
78952,"100,000 and Over",Female,44,College Graduate or above,3
78953,"15,000 to 19,999",Male,63,High School Grad/GED or equivalent,1
78954,"15,000 to 19,999",Male,34,Some College or AA degree,4
78957,"Under 20,000",Male,19,<9th Grade,2
78959,"100,000 and Over",Female,39,College Graduate or above,3
78962,"100,000 and Over",Female,52,High School Grad/GED or equivalent,2
78963,"45,000 to 54,999",Male,52,,7
78964,"25,000 to 34,999",Male,35,9th-11th Grade,5
78966,"25,000 to 34,999",Female,18,Some College or AA degree,2
78967,"100,000 and Over",Female,41,College Graduate or above,3
78968,"100,000 and Over",Female,63,High School Grad/GED or equivalent,3
78969,"15,000 to 19,999",Female,20,9th-11th Grade,5
78970,"75,000 to 99,999",Female,45,Some College or AA degree,2
78973,"25,000 to 34,999",Female,27,College Graduate or above,1
78974,"20,000 to 24,999",Male,54,High School Grad/GED or equivalent,6
78975,,Male,48,9th-11th Grade,1
78976,"45,000 to 54,999",Female,22,Some College or AA degree,3
78977,"35,000 to 44,999",Female,24,9th-11th Grade,7
78978,"35,000 to 44,999",Female,71,Some College or AA degree,2
78979,"100,000 and Over",Female,48,,5
78980,"20,000 to 24,999",Female,68,Some College or AA degree,6
78981,"10,000 to 14,999",Female,71,<9th Grade,1
78983,"100,000 and Over",Male,52,College Graduate or above,3
78986,"10,000 to 14,999",Female,19,Some College or AA degree,4
78987,"20,000 and Over",Male,30,College Graduate or above,2
78989,"35,000 to 44,999",Male,68,<9th Grade,1
78990," 5,000 to  9,999",Male,75,Some College or AA degree,2
78991,"100,000 and Over",Male,61,College Graduate or above,2
78992,"45,000 to 54,999",Female,19,High School Grad/GED or equivalent,4
78994,"55,000 to 64,999",Female,54,College Graduate or above,2
78997,"25,000 to 34,999",Female,74,College Graduate or above,1
78999,"65,000 to 74,999",Male,23,Some College or AA degree,4
79000,"45,000 to 54,999",Male,36,<9th Grade,5
79001," 5,000 to  9,999",Male,28,9th-11th Grade,2
79002,"45,000 to 54,999",Female,43,Some College or AA degree,2
79005,"100,000 and Over",Male,44,College Graduate or above,4
79006,"100,000 and Over",Female,52,Some College or AA degree,3
79007,"100,000 and Over",Female,52,Some College or AA degree,4
79011,"25,000 to 34,999",Female,80,Some College or AA degree,1
79012,"10,000 to 14,999",Female,50,High School Grad/GED or equivalent,1
79013,,Male,58,College Graduate or above,2
79014,"10,000 to 14,999",Female,54,Some College or AA degree,1
79015,"65,000 to 74,999",Male,64,Some College or AA degree,2
79016,"75,000 to 99,999",Male,80,College Graduate or above,2
79017,"25,000 to 34,999",Male,61,<9th Grade,5
79018,"75,000 to 99,999",Female,18,Some College or AA degree,6
79019,"25,000 to 34,999",Female,45,Some College or AA degree,3
79022,,Male,44,9th-11th Grade,7
79023,"100,000 and Over",Female,42,Some College or AA degree,4
79024,"35,000 to 44,999",Male,32,Some College or AA degree,5
79025,"15,000 to 19,999",Female,54,High School Grad/GED or equivalent,2
79026,"20,000 and Over",Male,23,,3
79027," 5,000 to  9,999",Female,48,9th-11th Grade,2
79029,"20,000 and Over",Male,52,College Graduate or above,2
79031,"75,000 to 99,999",Male,68,Some College or AA degree,2
79032,"20,000 and Over",Male,33,High School Grad/GED or equivalent,6
79033,"100,000 and Over",Male,41,High School Grad/GED or equivalent,6
79034,,Female,56,Some College or AA degree,5
79037,"20,000 and Over",Female,22,High School Grad/GED or equivalent,3
79039,"100,000 and Over",Female,34,Some College or AA degree,4
79040,"20,000 and Over",Female,58,High School Grad/GED or equivalent,2
79041,"100,000 and Over",Female,52,College Graduate or above,4
79042,"100,000 and Over",Male,65,College Graduate or above,2
79044,"45,000 to 54,999",Male,31,College Graduate or above,3
79048,"100,000 and Over",Male,80,College Graduate or above,2
79049,"45,000 to 54,999",Female,21,High School Grad/GED or equivalent,5
79050,"75,000 to 99,999",Female,74,High School Grad/GED or equivalent,3
79057,"65,000 to 74,999",Female,35,<9th Grade,7
79059,"100,000 and Over",Male,18,Some College or AA degree,6
79060,"100,000 and Over",Female,31,College Graduate or above,5
79061,"55,000 to 64,999",Male,43,<9th Grade,2
79063,"55,000 to 64,999",Female,51,Some College or AA degree,5
79064,"35,000 to 44,999",Male,48,College Graduate or above,4
79067,"75,000 to 99,999",Male,26,High School Grad/GED or equivalent,7
79068,"100,000 and Over",Female,36,College Graduate or above,3
79069,"35,000 to 44,999",Male,30,Some College or AA degree,2
79071,"100,000 and Over",Male,80,College Graduate or above,6
79072,"100,000 and Over",Female,53,College Graduate or above,3
79075,"25,000 to 34,999",Male,27,High School Grad/GED or equivalent,2
79076,"20,000 to 24,999",Female,19,High School Grad/GED or equivalent,6
79077,"35,000 to 44,999",Male,80,High School Grad/GED or equivalent,3
79078,"35,000 to 44,999",Female,60,9th-11th Grade,3
79080,"25,000 to 34,999",Female,76,Some College or AA degree,3
79081,"55,000 to 64,999",Female,27,College Graduate or above,4
79084,Don't know,Female,42,9th-11th Grade,5
79086,"55,000 to 64,999",Female,39,High School Grad/GED or equivalent,5
79088,"55,000 to 64,999",Female,46,Some College or AA degree,3
79089,"10,000 to 14,999",Female,55,9th-11th Grade,2
79091,,Female,38,9th-11th Grade,4
79092,"100,000 and Over",Female,36,College Graduate or above,5
79095,"100,000 and Over",Female,80,9th-11th Grade,5
79096,"10,000 to 14,999",Male,44,9th-11th Grade,6
79098,"15,000 to 19,999",Male,19,High School Grad/GED or equivalent,4
